City,Country Code,Latitude (N+/S-),Longitude (E+/W-),Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Hotel Name,Hotel Latitude,Hotel Longitude
kapaa,us,22.08,-159.32,64.4,93,1,5.82,Sheraton Kauai Resort at Coconut Beach,22.0567556,-159.3225167
vaini,to,-21.2,-175.2,69.8,77,20,6.93,Keleti Beach Resort,-21.2036689,-175.2324594
ochamchira,ge,42.71,41.47,69.51,45,0,1.88,Resort on Papaskiri 76,42.7122665,41.4733045
najran,sa,17.49,44.13,69.8,35,0,4.7,Ersal Money Transfer,17.4873805,44.1311779
ribeira grande,pt,38.52,-28.7,66.2,93,75,2.24,Hotel do Canal | Horta - Faial,38.528553,-28.627023
rawson,ar,-43.3,-65.1,64.63,28,0,3.33,Hotel Punta León,-43.3200902,-65.0489612
pacific grove,us,36.62,-121.92,61.05,29,1,6.71,Lovers Point Inn,36.62562109999999,-121.9174733
yokadouma,cm,3.52,15.05,69.6,94,99,1.41,Station service CAPOGCO,3.516229399999999,15.0513567
isiro,cd,2.77,27.62,67.93,99,100,1.16,Vodacom,2.778138,27.615675
bandipur,in,11.67,76.63,64.42,81,60,0.72,The Serai Bandipur,11.6337817,76.66654969999999
walvis bay,na,-22.96,14.51,65.05,56,5,19.46,Oyster Box Guesthouse,-22.962563,14.485966
ramanuj ganj,in,23.8,83.7,63.18,55,0,3.69,State Bank of India,23.8056104,83.701486
pisco,pe,-13.7,-76.22,66.54,77,0,11.41,Hostal San Isidro Oficial,-13.7078686,-76.1989899
coquimbo,cl,-29.95,-71.34,60.8,67,20,14.99,MarSerena Hotel y Cabañas,-29.92730319999999,-71.2769399
kansanshi,zm,-12.1,26.43,68.49,58,75,4.52,Kansanshi Mine,-12.0923711,26.4300276
tazmalt,dz,36.39,4.4,64.4,72,0,3.36,Mosquée,36.3477444,4.416641500000001
katastarion,gr,37.83,20.77,65.39,77,20,4.7,Maistrali Hotel & Apartments Zakynthos,37.8273377,20.8417968
rute,es,37.33,-4.37,69.46,33,0,5.82,El Mirador de Rute,37.3185385,-4.371136
adwa,et,14.16,38.9,64.08,29,0,12.24,Adawa Health Center,14.1667138,38.8950831
hervey bay,au,-25.3,152.85,68.0,85,0,1.01,Shelly Bay Resort,-25.2829399,152.8798937
mehriz,ir,31.59,54.43,62.6,18,0,6.93,Mellat Bank,31.5823468,54.4227076
luderitz,na,-26.65,15.16,62.42,67,32,28.81,LÜDERITZ NEST HOTEL,-26.652957,15.14962
villarrica,cl,-39.29,-72.23,66.2,52,0,14.99,Hotel El Ciervo,-39.281246,-72.2227304
elliot,za,-31.33,27.85,62.76,67,96,5.37,Elliot,-31.30823,27.85238
los aquijes,pe,-14.1,-75.69,66.74,77,0,11.41,Gran Hotel Ica,-14.0677236,-75.7296957
copiapo,cl,-27.37,-70.33,60.8,63,75,8.05,Antay Casino Hotel,-27.3795512,-70.3131306
pacifica,us,37.61,-122.49,63.23,59,1,2.89,"Pacifica Lighthouse, Trademark Collection by Wyndham",37.6096647,-122.4963748
roma,au,-26.58,148.78,65.08,34,0,9.31,Best Western Bungil Creek Motel,-26.5744948,148.7977802
houma,us,29.6,-90.72,65.32,51,1,12.75,Courtyard by Marriott Houma,29.5814675,-90.7266265
las vegas,us,36.17,-115.14,68.34,14,1,3.36,Plaza Hotel & Casino,36.171784,-115.146861
alofi,nu,-19.06,-169.92,68.0,77,12,10.29,Scenic Matavai Resort Niue,-19.1107715,-169.9134982
chimbote,pe,-9.09,-78.58,68.63,69,30,12.68,Hotel Briliá,-9.073257400000001,-78.60488169999999
bone,id,-9.83,124.45,67.46,97,5,1.81,Bank NTT KCP Oinlasi,-9.821895999999999,124.473295
lons,fr,43.32,-0.4,61.14,63,0,3.36,Appart'City Pau Centre - Appart Hôtel,43.29580430000001,-0.3699388
silao,in,25.08,85.42,66.87,88,0,5.82,Hotel Nalanda Regency,25.0274398,85.41680649999999
skala,gr,36.85,22.67,67.24,68,40,4.7,Ξενοδοχείο Όαση/ Oasis Hotel,36.850453,22.665503
port lavaca,us,28.61,-96.63,65.35,37,1,14.99,Holiday Inn Express & Suites Port Lavaca,28.6408995,-96.6131705
daudnagar,in,25.03,84.4,66.2,88,0,3.83,Daudnagar Police Station,25.034903,84.4000867
nizwa,om,22.93,57.53,67.69,29,0,2.51,Al Karam Hotel Apartment,22.89480799999999,57.567148
sonari,in,27.07,95.03,69.57,92,13,0.72,Legislative Court,27.0317394,95.0082099
tabas,ir,33.6,56.92,62.6,14,0,4.7,کافی نت طبس آنلاین,33.5959718,56.92844950000001
